name,freq,error
Agarivorans gilvus sp. nov,1,
Agarivorans litoreus sp. nov,1,
Agathobaculum butyriciproducens gen. nov,1,
Aggregicoccus edonensis gen. nov,1,
Agreia bicolorata gen. nov,1,
Agrobacterium arsenijevicii sp. nov,1,
Agrobacterium deltaense sp. nov,1,
Agrobacterium larrymoorei sp. nov,1,
Agrobacterium salinitolerans sp. nov,1,
Agrococcus baldri sp. nov,1,
Agrococcus carbonis sp. nov,1,
Agrococcus casei sp. nov,1,
Agrococcus jejuensis sp. nov,1,
Agrococcus lahaulensis sp. nov,1,
Agrococcus terreus sp. nov,1,
Agrococcus versicolor sp. nov,1,
Agromyces albus sp. nov,1,
Agromyces allii sp. nov,1,
Agromyces atrinae sp. nov,1,
Agromyces aurantiacus sp. nov,1,
Agromyces aureus sp. nov,1,
Agromyces bauzanensis sp. nov,1,
Agromyces binzhouensis sp. nov,1,
Agromyces bracchium sp. nov,1,
Agromyces flavus sp. nov,1,
Agromyces hippuratus sp. nov,1,
Agromyces humatus sp. nov,1,
Agromyces indicus sp. nov,1,
Agromyces insulae sp. nov,1,
Agromyces iriomotensis sp. nov,1,
Agromyces italicus sp. nov,1,
Agromyces lapidis sp. nov,1,
Agromyces luteolus sp. nov,1,
Agromyces mangrovi sp. nov,2,
Agromyces marinus sp. nov,1,
Agromyces neolithicus sp. nov,1,
Agromyces rhizospherae sp. nov,1,
Agromyces salentinus sp. nov,1,
Agromyces soli sp. nov,1,
Agromyces subbeticus sp. nov,1,
Agromyces subtropicus sp. nov,1,
Agromyces terreus sp. nov,1,
Agromyces tropicus sp. nov,1,
Agromyces ulmi sp. nov,1,
Ahniella affigens gen. nov,1,
Aidingibacillus halophilus gen. nov,1,
Aidingimonas halophila gen. nov,1,
Akkermansia glycaniphila sp. nov,1,
Akkermansia muciniphila gen. nov,1,
Albibacter methylovorans gen. nov,1,
Albidovulum xiamenense sp. nov,1,
Albimonas donghaensis gen. nov,1,
Albimonas pacifica sp. nov,1,
Albirhodobacter confluentis sp. nov,1,
Albirhodobacter marinus gen. nov,1,
Alcaligenes aquatilis sp. nov,1,
Alcaligenes endophyticus sp. nov,1,
Alcaligenes pakistanensis sp. nov,1,
Alcalilimnicola halodurans gen. nov,1,
Alcanivorax balearicus sp. nov,1,
Alcanivorax dieselolei sp. nov,1,
Alcanivorax gelatiniphagus sp. nov,1,
Alcanivorax hongdengensis sp. nov,1,
Alcanivorax indicus sp. nov,1,
Alcanivorax marinus sp. nov,1,
Alcanivorax mobilis sp. nov,1,
Alcanivorax nanhaiticus sp. nov,1,
Alcanivorax venustensis sp. nov,1,
Alcanivorax xenomutans sp. nov,1,
Algibacter agarilyticus sp. nov,1,
Algibacter agarivorans sp. nov,1,
Algibacter alginolytica sp. nov,1,
Algibacter amylolyticus sp. nov,1,
Algibacter aquaticus sp. nov,1,
Algibacter aquimarinus sp. nov,1,
Algibacter lectus gen. nov,1,
Algibacter mikhailovii sp. nov,1,
Algibacter miyuki sp. nov,1,
Algibacter psychrophilus sp. nov,1,
Algibacter undariae sp. nov,1,
Algibacter wandonensis sp. nov,1,
Algimonas ampicilliniresistens sp. nov,1,
Algimonas arctica sp. nov,1,
Algimonas porphyrae gen. nov,1,
