Name	Year
Aerococcus suis	2007
Aerococcus urinae	1992
Aerococcus urinaeequi	2005
Aerococcus urinaehominis	2001
Aerococcus vaginalis	2014
Aerococcus viridans	1953
Aeromicrobium alkaliterrae	2005
Aeromicrobium camelliae	2015
Aeromicrobium choanae	2017
Aeromicrobium erythreum	1991
Aeromicrobium fastidiosum	1994
Aeromicrobium flavum	2008
Aeromicrobium ginsengisoli	2008
Aeromicrobium halocynthiae	2010
Aeromicrobium marinum	2003
Aeromicrobium massiliense	2014
Aeromicrobium panaciterrae	2007
Aeromicrobium ponti	2008
Aeromicrobium tamlense	2007
Aeromonas allosaccharophila	1992
Aeromonas aquariorum	2008
Aeromonas aquatica	2015
Aeromonas australiensis	2013
Aeromonas bestiarum	1996
Aeromonas bivalvium	2007
Aeromonas caviae	1984
Aeromonas culicicola	2002
Aeromonas dhakensis	2015
Aeromonas diversa	2010
Aeromonas encheleia	1995
Aeromonas enteropelogenes	1991
Aeromonas eucrenophila	1988
Aeromonas finlandensis	2015
Aeromonas fluvialis	2010
Aeromonas hydrophila	1943
Aeromonas ichthiosmia	1991
Aeromonas jandaei	1992
Aeromonas lacus	2015
Aeromonas media	1983
Aeromonas molluscorum	2004
Aeromonas piscicola	2010
Aeromonas popoffii	1997
Aeromonas punctata	1957
Aeromonas rivipollensis	2016
Aeromonas rivuli	2011
Aeromonas salmonicida	1953
Aeromonas sanarellii	2010
Aeromonas schubertii	1989
Aeromonas sharmana	2006
Aeromonas simiae	2004
Aeromonas sobria	1981
Aeromonas taiwanensis	2010
Aeromonas tecta	2010
Aeromonas trota	1992
Aeromonas veronii	1988
Aeropyrum camini	2004
Aeropyrum pernix	1996
Aestuariibacter aggregatus	2010
Aestuariibacter halophilus	2004
Aestuariibacter litoralis	2010
Aestuariibacter salexigens	2004
Aestuariibaculum suncheonense	2013
Aestuariibius insulae	2018
Aestuariicella hydrocarbonica	2015
Aestuariicoccus marinus	2018
Aestuariicola saemankumensis	2008
Aestuariihabitans beolgyonensis	2014
Aestuariimicrobium kwangyangense	2007
Aestuariimonas insulae	2018
Aestuariispira insulae	2014
Aestuariivita atlantica	2015
Aestuariivita boseongensis	2014
Aestuariivivens insulae	2015
Aetherobacter fasciculatus	2016
Aetherobacter rufus	2016
Afifella marina	2009
Afifella pfennigii	2009
Afipia birgiae	2002
Afipia broomeae	1992
Afipia clevelandensis	1992
Afipia felis	1992
Afipia massiliensis	2002
Agaribacterium haliotis	2017
Agaribacter marinus	2014
Agaricicola taiwanensis	2010
Agarilytica rhodophyticola	2017
Agarivorans aestuarii	2016
Agarivorans albus	2004
Agarivorans gilvus	2011
Agarivorans litoreus	2015
Agathobacter rectalis	2016
Agathobacter ruminis	2016
Agathobaculum butyriciproducens	2016
Agathobaculum desmolans	2016
Aggregatibacter actinomycetemcomitans	2006
Aggregatibacter aphrophilus	2006
Aggregatibacter segnis	2006
Aggregicoccus edonensis	2015
Agitococcus lubricus	1981
Agreia bicolorata	2001
Agreia pratensis	2003
Agrobacterium atlanticum	1992
Agrobacterium ferrugineum	1992
Agrobacterium gelatinovorum	1992
Agrobacterium larrymoorei	2001
Agrobacterium meteori	1992
Agrobacterium nepotum	2016
Agrobacterium pusense	2016
Agrobacterium radiobacter	1942
Agrobacterium rhizogenes	1942
Agrobacterium rubi	1943
Agrobacterium salinitolerans	2017
Agrobacterium skierniewicense	2016
Agrobacterium stellulatum	1992
Agrobacterium tumefaciens	1942
Agrobacterium vitis	1990
Agrococcus baldri	2002
Agrococcus carbonis	2011
Agrococcus casei	2007
Agrococcus citreus	1999
Agrococcus jejuensis	2008
Agrococcus jenensis	1996
Agrococcus lahaulensis	2006
Agrococcus terreus	2010
Agrococcus versicolor	2008
Agromonas oligotrophica	1985
Agromyces albus	2003
Agromyces allii	2007
Agromyces atrinae	2010
Agromyces aurantiacus	2003
Agromyces aureus	2016
